date,DEU_commodities_f1__DEU_commodities_f2
2007-12-26,0.8532868942324013
2007-12-27,0.8533040459587965
2007-12-28,0.8533174259328288
2007-12-31,0.8533278632990756
2008-01-01,0.8522182014991913
2008-01-02,0.8520198223604286
2008-01-03,0.8520342188411967
2008-01-04,0.8521579068047623
2008-01-07,0.8523278046396148
2008-01-08,0.8525075600305629
2008-01-09,0.8526778022188883
2008-01-10,0.8528295086113075
2008-01-11,0.8529596673130498
2008-01-14,0.8530685427832634
2008-01-15,0.8531580140730888
2008-01-16,0.8532306055120733
2008-01-17,0.8532889502903944
2008-01-18,0.8533355162124473
2008-01-21,0.8533724847461756
2008-01-22,0.853401715833502
2008-01-23,0.8534247577000423
2008-01-24,0.8534428777912646
2008-01-25,0.8534571013673818
2008-01-28,0.853468250551342
2008-01-29,0.8534769802967095
2008-01-30,0.8534838098281768
2008-01-31,0.8534891492407044
2008-02-01,0.8492942378756493
2008-02-04,0.8493319120844006
2008-02-05,0.8496682863899364
2008-02-06,0.8501404261868909
2008-02-07,0.8506487364070029
2008-02-08,0.8511369576294892
2008-02-11,0.8515769555314281
2008-02-12,0.8519578711841996
2008-02-13,0.8522787870575003
2008-02-14,0.8525440049171507
2008-02-15,0.8527601492434773
2008-02-18,0.8529344851712977
2008-02-19,0.8530740102425429
2008-02-20,0.8531850188952715
2008-02-21,0.8532729426898124
2008-02-22,0.8533423421056948
2008-02-25,0.8533969744165696
2008-02-26,0.8534398935092931
2008-02-27,0.8534735570848528
2008-02-28,0.8534999285249099
2008-02-29,0.8535205676427746
2008-03-03,0.8669562499442626
2008-03-04,0.8643134257444316
2008-03-05,0.8621479404028537
2008-03-06,0.8603914353917897
2008-03-07,0.8589782585818554
2008-03-10,0.8578487175238374
2008-03-11,0.8569505755196909
2008-03-12,0.8562393701615337
2008-03-13,0.8556780258485126
2008-03-14,0.8552361004784043
2008-03-17,0.8548888900762766
2008-03-18,0.8546165261833109
2008-03-19,0.8544031390897193
2008-03-20,0.8542361202143435
2008-03-21,0.8541054930326334
2008-03-24,0.8540033887168214
2008-03-25,0.8539236161612023
2008-03-26,0.8538613136098813
2008-03-27,0.8538126689111525
2008-03-28,0.8537746963863838
2008-03-31,0.8537450597632887
2008-04-01,0.8583553634067279
2008-04-02,0.8573601048841863
2008-04-03,0.8565685592805576
2008-04-04,0.8559416327459991
2008-04-07,0.8554467167931394
2008-04-08,0.8550570260480336
2008-04-09,0.8547508144135961
2008-04-10,0.8545105850646793
2008-04-11,0.8543223574514275
2008-04-14,0.8541750204403131
2008-04-15,0.8540597800501761
2008-04-16,0.8539696986722424
2008-04-17,0.8538993169219645
2008-04-18,0.8538443470503394
2008-04-21,0.8538014266154599
2008-04-22,0.8537679219187705
2008-04-23,0.8537417719659612
2008-04-24,0.8537213650897457
2008-04-25,0.8537054416957599
2008-04-28,0.853693017781106
2008-04-29,0.85368332489831
2008-04-30,0.8536757630950961
2008-05-01,0.8551167041641914
2008-05-02,0.8547790847668585
2008-05-05,0.8545215259915402
2008-05-06,0.854324238255794
2008-05-07,0.8541725922152944
2008-05-08,0.8540556910492656
2008-05-09,0.8539653594783401
2008-05-12,0.8538954236510289
2008-05-13,0.8538411941007757
2008-05-14,0.853799091095262
2008-05-15,0.8537663705595794
2008-05-16,0.8537409216913043
2008-05-19,0.8537211162032124
2008-05-20,0.8537056951360129
2008-05-21,0.8536936832906724
2008-05-22,0.8536843241583421
2008-05-23,0.8536770301923878
2008-05-26,0.8536713446495139
2008-05-27,0.8536669122105393
2008-05-28,0.8536634562996325
2008-05-29,0.8536607615367777
2008-05-30,0.8536586601382009
2008-06-02,0.8536570213620505
2008-06-03,0.8554350140498164
2008-06-04,0.8550413016198148
2008-06-05,0.8547348750634267
2008-06-06,0.8544962944292862
2008-06-09,0.8543104765891466
2008-06-10,0.8541657119272192
2008-06-11,0.8540529037589983
2008-06-12,0.8539649806416965
2008-06-13,0.8538964421977454
2008-06-16,0.8538430078395719
2008-06-17,0.8538013447926001
2008-06-18,0.8537688572796738
2008-06-19,0.8537435229398448
2008-06-20,0.8537237657782689
2008-06-23,0.8537083574087422
2008-06-24,0.8536963402360437
2008-06-25,0.8536869676704096
2008-06-26,0.8536796575765004
2008-06-27,0.8536739560138796
2008-06-30,0.85366950898546
2008-07-01,0.8608183244641925
2008-07-02,0.859340452337277
2008-07-03,0.8581518064023664
2008-07-04,0.8572018948865098
2008-07-07,0.8564466519110897
2008-07-08,0.8558486279298458
2008-07-09,0.8553766224214492
2008-07-10,0.855005029482576
2008-07-11,0.8547130749337313
2008-07-14,0.8544840528781481
2008-07-15,0.8543046202742007
2008-07-16,0.8541641760650731
2008-07-17,0.8540543320732585
2008-07-18,0.8539684721192917
2008-07-21,0.8539013905495075
2008-07-22,0.8538489993759101
2008-07-23,0.8538080931039032
2008-07-24,0.853776161147217
2008-07-25,0.8537512389626988
2008-07-28,0.8537317903734756
2008-07-29,0.8537166148253652
2008-07-30,0.8537047744629045
2008-07-31,0.8536955368921624
2008-08-01,0.8441414443777275
2008-08-04,0.8462822618363851
2008-08-05,0.8479334181884413
2008-08-06,0.8492098432666954
2008-08-07,0.8501984326819815
2008-08-08,0.8509652457112261
2008-08-11,0.8515607464399733
2008-08-12,0.8520236449136305
2008-08-13,0.8523837362528004
2008-08-14,0.852664017309318
2008-08-15,0.852882277291255
2008-08-18,0.8530523014228397
2008-08-19,0.8531847871614541
2008-08-20,0.8532880450331055
2008-08-21,0.8533685368642993
2008-08-22,0.8534312904743353
2008-08-25,0.8534802200127409
2008-08-26,0.8535183739217485
2008-08-27,0.8535481271902294
2008-08-28,0.853571330607783
2008-08-29,0.8535894267545333
2008-09-01,0.8536035402124894
2008-09-02,0.8468317404693262
2008-09-03,0.8484032635903784
2008-09-04,0.8495988362235819
2008-09-05,0.8505136045798598
2008-09-08,0.8512165832101595
2008-09-09,0.8517586203390993
2008-09-10,0.852177643453745
2008-09-11,0.8525022176410575
2008-09-12,0.8527540209272478
2008-09-15,0.8529496032379038
2008-09-16,0.8531016587511197
2008-09-17,0.8532199599492878
2008-09-18,0.8533120516886397
2008-09-19,0.8533837720668147
2008-09-22,0.853439646445885
2008-09-23,0.853483187439314
2008-09-24,0.8535171244782986
2008-09-25,0.8535435802052415
2008-09-26,0.8535642064481008
2008-09-29,0.8535802893043948
2008-09-30,0.8535928305153395
2008-10-01,0.8432218315682517
2008-10-02,0.8456936971843656
2008-10-03,0.8475420689843234
2008-10-06,0.8489379722485874
2008-10-07,0.850000072766012
2008-10-08,0.8508127948296318
2008-10-09,0.8514373980541664
2008-10-10,0.8519190295367834
2008-10-13,0.8522913714914517
2008-10-14,0.8525797958468005
2008-10-15,0.8528035597912772
2008-10-16,0.8529773665292152
2008-10-17,0.8531124946236031
2008-10-20,0.853217627276618
2008-10-21,0.8532994686746991
2008-10-22,0.8533632066045765
2008-10-23,0.8534128624570247
2008-10-24,0.8534515577281606
2008-10-27,0.853481717977785
2008-10-28,0.8535052295565962
2008-10-29,0.8535235604269181
2008-10-30,0.8535378535394602
2008-10-31,0.8535489991440067
2008-11-03,0.7627091750715751
2008-11-04,0.35835534950689957
2008-11-05,0.062156511188518344
2008-11-06,-0.1581437378676111
2008-11-07,-0.323851922575791
2008-11-10,-0.4495551954132708
2008-11-11,-0.5455240708774011
2008-11-12,-0.6191506117488003
2008-11-13,-0.6758480133403766
2008-11-14,-0.7196346958873073
2008-11-17,-0.7535258039124334
2008-11-18,-0.7798028120704923
2008-11-19,-0.8002034888110199
2008-11-20,-0.8160583425384408
2008-11-21,-0.8283902081304694
2008-11-24,-0.8379878962698152
2008-11-25,-0.8454612512618963
2008-11-26,-0.8512826717370422
2008-11-27,-0.8558186436788328
2008-11-28,-0.8593538234669102
2008-12-01,-0.862109513680253
2008-12-02,-0.7211112026677481
2008-12-03,-0.73164190895087
2008-12-04,-0.7449546407769208
2008-12-05,-0.7596912234852549
2008-12-08,-0.7747583915453616
2008-12-09,-0.7893307793945276
2008-12-10,-0.8028414431445203
2008-12-11,-0.8149545582910699
2008-12-12,-0.8255237759951035
2008-12-15,-0.8345440385115582
2008-12-16,-0.8421047834672806
2008-12-17,-0.8483500734561059
2008-12-18,-0.8534481413108272
2008-12-19,-0.8575703794901796
2008-12-22,-0.8608783586234408
2008-12-23,-0.8635169256828183
2008-12-24,-0.8656114874489652
2008-12-25,-0.8672679223580263
2008-12-26,-0.8685739732106138
2008-12-29,-0.8696013435376454
2008-12-30,-0.8704080102772602
2008-12-31,-0.8710404720179378
2009-01-01,-0.7658509088310148
2009-01-02,-0.7864847825576209
2009-01-05,-0.8035871756038752
2009-01-06,-0.8175855796055236
2009-01-07,-0.828929582252351
2009-01-08,-0.8380495775565087
2009-01-09,-0.8453351263812823
2009-01-12,-0.8511258410294803
2009-01-13,-0.8557099782055713
2009-01-14,-0.8593274279532835
2009-01-15,-0.8621748889568974
2009-01-16,-0.8644118325085199
2009-01-19,-0.8661664315335182
2009-01-20,-0.867541016333419
2009-01-21,-0.8686168631370053
2009-01-22,-0.8694582671904579
2009-01-23,-0.8701159321831133
2009-01-26,-0.8706297465430272
2009-01-27,-0.8710310311955023
2009-01-28,-0.8713443436318766
2009-01-29,-0.8715889163744841
2009-01-30,-0.8717797981963994
2009-02-02,-0.871928756050296
2009-02-03,-0.7824574438264126
2009-02-04,-0.6429556781719615
2009-02-05,-0.5182991327700319
2009-02-06,-0.4063586240405561
2009-02-09,-0.30561385976798555
2009-02-10,-0.21500242763781233
2009-02-11,-0.13379258641901687
2009-02-12,-0.0614665880662652
2009-02-13,0.0023867188259303227
2009-02-16,0.058163211799889404
2009-02-17,0.10630935237696337
2009-02-18,0.14735630551301698
2009-02-19,0.18192278098269668
2009-02-20,0.21069379443485894
2009-02-23,0.23438627047130345
2009-02-24,0.2537122246682712
2009-02-25,0.2693472795975641
2009-02-26,0.28190838844923144
2009-02-27,0.2919413620040165
2009-03-02,0.29991676692739827
2009-03-03,0.48255904165810826
2009-03-04,0.4899541420406483
2009-03-05,0.5022853682797312
2009-03-06,0.519107365146206
2009-03-09,0.5398298119124587
2009-03-10,0.5637182026440297
2009-03-11,0.5899114077298466
2009-03-12,0.6174609731355952
2009-03-13,0.6453916070596574
2009-03-16,0.6727751282024848
2009-03-17,0.6988041407157566
2009-03-18,0.7228499929673528
2009-03-19,0.7444935242015239
2009-03-20,0.7635250787378343
2009-03-23,0.7799185807813609
2009-03-24,0.793789721568632
2009-03-25,0.8053492640005646
2009-03-26,0.8148600915266151
2009-03-27,0.8226028865492748
2009-03-30,0.8288518974315668
2009-03-31,0.8338599605970631
2009-04-01,0.8397262337428495
2009-04-02,0.8420820933794704
2009-04-03,0.844122363432916
2009-04-06,0.8458461622836797
2009-04-07,0.8472759506643694
2009-04-08,0.8484454117539405
2009-04-09,0.8493917712118395
2009-04-10,0.8501513147918834
2009-04-13,0.8507570567993197
2009-04-14,0.8512377665334928
2009-04-15,0.8516177958349206
2009-04-16,0.8519173395019767
2009-04-17,0.8521528979755401
2009-04-20,0.8523378058222576
2009-04-21,0.8524827507059931
2009-04-22,0.8525962454875827
2009-04-23,0.8526850385553139
2009-04-24,0.8527544600469958
2009-04-27,0.8528087080891658
2009-04-28,0.8528510820398002
2009-04-29,0.8528841705486901
2009-04-30,0.8529100020040999
2009-05-01,0.837414943637839
2009-05-04,0.8401311490958244
2009-05-05,0.8425328504609862
2009-05-06,0.8445836031095396
2009-05-07,0.8462938593155418
2009-05-08,0.8476965812500973
