date,FRA_systemic_stress_f1__FRA_systemic_stress_f2
2020-10-20,-0.8666915244926318
2020-10-21,-0.866727613335653
2020-10-22,-0.8667558404217527
2020-10-23,-0.8667779048741071
2020-10-26,-0.8667951439372181
2020-10-27,-0.8668086079199667
2020-10-28,-0.8668191204795019
2020-10-29,-0.866827326755334
2020-10-30,-0.866833731591009
2020-11-02,-0.8668387297590208
2020-11-03,-0.8693026293162296
2020-11-04,-0.8687755878931249
2020-11-05,-0.8683604234369238
2020-11-06,-0.8680340853663157
2020-11-09,-0.8677779990913906
2020-11-10,-0.8675773058097013
2020-11-11,-0.8674201859434674
2020-11-12,-0.8672972784262711
2020-11-13,-0.8672011943777745
2020-11-16,-0.8671261169199374
2020-11-17,-0.8670674760831261
2020-11-18,-0.8670216872259494
2020-11-19,-0.8669859420699462
2020-11-20,-0.8669580426761694
2020-11-23,-0.866936270089156
2020-11-24,-0.8669192807422795
2020-11-25,-0.866906024959028
2020-11-26,-0.8668956829597232
2020-11-27,-0.8668876146879199
2020-11-30,-0.8668813205171797
2020-12-01,-0.8550509086209892
2020-12-02,-0.8566931772549661
2020-12-03,-0.8583189528524451
2020-12-04,-0.8598113640549568
2020-12-07,-0.8611195236090169
2020-12-08,-0.8622314536003982
2020-12-09,-0.8631564416201671
2020-12-10,-0.8639140106373961
2020-12-11,-0.864527350130597
2020-12-14,-0.8650196423501859
2020-12-15,-0.8654121948247786
2020-12-16,-0.8657236522163181
2020-12-17,-0.8659698199418204
2020-12-18,-0.8661638093509705
2020-12-21,-0.8663163310058156
2020-12-22,-0.8664360369340127
2020-12-23,-0.8665298585743145
2020-12-24,-0.8666033145050951
2020-12-25,-0.8666607777774274
2020-12-28,-0.8667057012664725
2020-12-29,-0.8667408037911616
2020-12-30,-0.8667682216321942
2020-12-31,-0.8667896306002174
2021-01-01,-0.8638761135493762
2021-01-04,-0.8642702442966282
2021-01-05,-0.8646770415735792
2021-01-06,-0.8650568358896047
2021-01-07,-0.8653921137983885
2021-01-08,-0.8656778854480409
2021-01-11,-0.8659157912264769
2021-01-12,-0.8661106065029419
2021-01-13,-0.8662682476694036
2021-01-14,-0.8663946947841185
2021-01-15,-0.8664954585181331
2021-01-18,-0.8665753596114601
2021-01-19,-0.8666384797383934
2021-01-20,-0.8666881999642643
2021-01-21,-0.8667272784378631
2021-01-22,-0.8667579404855492
2021-01-25,-0.866781967058159
2021-01-26,-0.8668007748865482
2021-01-27,-0.8668154858496633
2021-01-28,-0.8668269852724393
2021-01-29,-0.8668359699598726
2021-02-01,-0.8668429872278834
2021-02-02,-0.8670397116981112
