date,ITA_systemic_stress_f1__ITA_systemic_stress_f2
2001-07-26,0.8374473086617255
2001-07-27,0.8424338072233568
2001-07-30,0.8463456621541687
2001-07-31,0.8494106615847286
2001-08-01,0.8549699293266172
2001-08-02,0.8560055229808241
2001-08-03,0.8568703369088143
2001-08-06,0.857581391937
2001-08-07,0.8581591191506748
2001-08-08,0.8586242479726114
2001-08-09,0.8589960897318242
2001-08-10,0.8592917335239489
2001-08-13,0.8595257987170777
2001-08-14,0.8597105013578868
2001-08-15,0.8598558783450209
2001-08-16,0.8599700744615961
2001-08-17,0.8600596381344557
2001-08-20,0.8601297976361694
2001-08-21,0.8601847050796337
2001-08-22,0.8602276445291402
2001-08-23,0.8602612053568536
2001-08-24,0.8602874242690794
2001-08-27,0.8603079002756773
2001-08-28,0.8603238869371173
2001-08-29,0.860336365892002
2001-08-30,0.8603461051717367
2001-08-31,0.8603537052744015
2001-09-03,0.8024834508334584
2001-09-04,0.8158529573506267
2001-09-05,0.8260052065500806
2001-09-06,0.8337630540824597
2001-09-07,0.8397194315601374
2001-09-10,0.8443091967351735
2001-09-11,0.8478556732692611
2001-09-12,0.8506018228425418
2001-09-13,0.8527317304914568
2001-09-14,0.8543857692728946
2001-09-17,0.8556715154949851
2001-09-18,0.8566717324775482
2001-09-19,0.8574502869730081
2001-09-20,0.8580565801557495
2001-09-21,0.8585288944308859
2001-09-24,0.8588969385595936
2001-09-25,0.8591837936142477
2001-09-26,0.8594074072003919
2001-09-27,0.8595817446961103
2001-09-28,0.859717678602493
2001-10-01,0.8598236770211228
2001-10-02,0.5710123568028274
2001-10-03,0.5479448116503397
2001-10-04,0.5324590972978538
2001-10-05,0.5240932390630232
2001-10-08,0.5223784178628594
2001-10-09,0.5268122934939764
2001-10-10,0.5368300273549373
2001-10-11,0.5517773626614073
2001-10-12,0.5708918336091604
2001-10-15,0.5932991854094446
2001-10-16,0.618031250039792
2001-10-17,0.644067916333008
2001-10-18,0.6703996093257382
2001-10-19,0.6960997082750304
2001-10-22,0.7203917196847065
2001-10-23,0.7426964696527821
2001-10-24,0.762650372392175
2001-10-25,0.7800943782322588
2001-10-26,0.7950406652628034
2001-10-29,0.8076278106741034
2001-10-30,0.8180747252953744
2001-10-31,0.8266405610226746
2001-11-01,0.8367161154792508
2001-11-02,0.8415129207493516
2001-11-05,0.8454058866338617
2001-11-06,0.8485394222104923
2001-11-07,0.8510450706774503
2001-11-08,0.853038115148936
2001-11-09,0.8546168033126443
2001-11-12,0.8558631470336132
2001-11-13,0.8568445449961082
2001-11-14,0.8576157325738485
2001-11-15,0.858220758480791
2001-11-16,0.8586948238495253
2001-11-19,0.8590659075813513
2001-11-20,0.8593561551821791
2001-11-21,0.8595830381269006
2001-11-22,0.8597603056216087
2001-11-23,0.8598987564200751
2001-11-26,0.8600068590268359
2001-11-27,0.8600912466514546
2001-11-28,0.8601571101472739
2001-11-29,0.8602085087160473
2001-11-30,0.8602486148346675
2001-12-03,0.8206295928407135
2001-12-04,0.8302014679368077
2001-12-05,0.8373194165845991
2001-12-06,0.8426730732908753
2001-12-07,0.846734152211872
2001-12-10,0.8498345971152073
2001-12-11,0.8522132524868461
2001-12-12,0.8540449999668434
2001-12-13,0.855459653677601
2001-12-14,0.8565546159789095
2001-12-17,0.8574035891754651
2001-12-18,0.8580627123722016
2001-12-19,0.8585749689525128
2001-12-20,0.8589734033027555
2001-12-21,0.8592834997545505
2001-12-24,0.8595249610470953
2001-12-25,0.8597130495612926
2001-12-26,0.8598596059593266
2001-12-27,0.8599738271860016
2001-12-28,0.860062863345802
2001-12-31,0.8601322772507567
2002-01-01,0.8586636181898195
2002-01-02,0.85902798429981
2002-01-03,0.8593171289175319
2002-01-04,0.859545622912317
2002-01-07,0.8597256295058223
2002-01-08,0.8598671088481648
2002-01-09,0.8599781117894189
2002-01-10,0.8600650868456409
2002-01-11,0.8601331653377371
2002-01-14,0.8601864108476333
2002-01-15,0.8602280298970065
2002-01-16,0.8602605459088568
2002-01-17,0.8602859406804676
2002-01-18,0.8603057682143214
2002-01-21,0.8603212456075519
2002-01-22,0.8603333252160849
2002-01-23,0.8603427517117356
2002-01-24,0.8603501070528338
2002-01-25,0.8603558458440158
2002-01-28,0.860360323088449
2002-01-29,0.8603638159387655
2002-01-30,0.8603665407260865
2002-01-31,0.8603686662811268
2002-02-01,0.713685514775854
2002-02-04,0.32876228519186057
2002-02-05,0.04444662440390241
2002-02-06,-0.16839037041662355
2002-02-07,-0.32929511491582875
2002-02-08,-0.4518352062891389
2002-02-11,-0.5456756891830459
2002-02-12,-0.6178409252063052
2002-02-13,-0.6735161118334758
2002-02-14,-0.7165754558914181
2002-02-15,-0.7499410954885547
2002-02-18,-0.7758333642532445
2002-02-19,-0.7959490721765392
2002-02-20,-0.8115907795859528
2002-02-21,-0.8237619104077479
2002-02-22,-0.8332375670210818
2002-02-25,-0.8406177627928988
2002-02-26,-0.8463677477562691
2002-02-27,-0.8508487458966447
2002-02-28,-0.8543414991915367
2002-03-01,-0.4285976159954526
2002-03-04,-0.1523790639660581
2002-03-05,0.0658794730636685
2002-03-06,0.23786091435300866
2002-03-07,0.3730801284995915
2002-03-08,0.4792116837670081
2002-03-11,0.5623997081107317
2002-03-12,0.6275347022243553
2002-03-13,0.6784918850699522
2002-03-14,0.7183312743376473
2002-03-15,0.7494626267024657
2002-03-18,0.7737796165220058
2002-03-19,0.7927679168121466
2002-03-20,0.8075916129668907
2002-03-21,0.8191619033623582
2002-03-22,0.8281914820887565
2002-03-25,0.8352374450826773
2002-03-26,0.8407350550688991
2002-03-27,0.8450242603275223
2002-03-28,0.8483704904667606
2002-03-29,0.8509809448986201
2002-04-01,0.8530173391571106
2002-04-02,0.12229958793432139
2002-04-03,-0.02968200671770708
2002-04-04,-0.16400455953388315
2002-04-05,-0.2817365136503653
2002-04-08,-0.3838451916573602
2002-04-09,-0.4713643733427619
2002-04-10,-0.5454674756560168
2002-04-11,-0.6074663328001542
2002-04-12,-0.658762543597837
2002-04-15,-0.7007788291317062
2002-04-16,-0.7348920199823131
2002-04-17,-0.7623805321326912
2002-04-18,-0.7843909947527591
2002-04-19,-0.8019230116042078
2002-04-22,-0.815828162721187
2002-04-23,-0.8268186162897908
2002-04-24,-0.8354812148307948
2002-04-25,-0.8422938870517818
2002-04-26,-0.8476422638631269
2002-04-29,-0.8518352323449108
2002-04-30,-0.8551187866911257
2002-05-01,-0.8473404770548993
2002-05-02,-0.8502349717166219
2002-05-03,-0.8529778917489256
2002-05-06,-0.8554425488383204
2002-05-07,-0.857578912350306
2002-05-08,-0.8593838645335063
2002-05-09,-0.8608803768435354
2002-05-10,-0.8621037806156814
2002-05-13,-0.8630932738586315
2002-05-14,-0.8638870567577563
2002-05-15,-0.8645198428314571
2002-05-16,-0.8650218400332927
2002-05-17,-0.865418585064651
2002-05-20,-0.8657312319317252
2002-05-21,-0.865977048997371
2002-05-22,-0.866169981045833
2002-05-23,-0.8663211981711001
2002-05-24,-0.8664395932769025
2002-05-27,-0.8665322133764608
2002-05-28,-0.8666046228257891
2002-05-29,-0.866661203206541
2002-05-30,-0.8667053974273242
2002-05-31,-0.8667399063800003
2002-06-03,-0.8390539653660077
2002-06-04,-0.8448363079389253
2002-06-05,-0.8494843376214515
2002-06-06,-0.8531892919682519
2002-06-07,-0.8561256538946446
2002-06-10,-0.8584434865327457
2002-06-11,-0.8602677430478314
2002-06-12,-0.86170044288086
2002-06-13,-0.8628238227843642
2002-06-14,-0.8637035977427535
2002-06-17,-0.8643919587392186
2002-06-18,-0.864930172486975
2002-06-19,-0.8653507617211992
2002-06-20,-0.8656792956579054
2002-06-21,-0.8659358398654742
2002-06-24,-0.8661361189863415
2002-06-25,-0.8662924427366913
2002-06-26,-0.8664144396606778
2002-06-27,-0.866509636378191
2002-06-28,-0.8665839135790261
2002-07-01,-0.8666418642283863
2002-07-02,-0.5469454613870639
2002-07-03,-0.23012697100997037
2002-07-04,0.013888657414339235
2002-07-05,0.20248395943923836
2002-07-08,0.3485996609868015
2002-07-09,0.46199953267565236
2002-07-10,0.5501187578097494
2002-07-11,0.6186560081097224
2002-07-12,0.6719990727301031
2002-07-15,0.7135375433332225
2002-07-16,0.7458961755963002
2002-07-17,0.7711110529898915
2002-07-18,0.7907636825364361
2002-07-19,0.8060836910150001
2002-07-22,0.8180278271428588
2002-07-23,0.8273409388229105
2002-07-24,0.834603155172185
2002-07-25,0.8402664627486137
2002-07-26,0.84468310028119
2002-07-29,0.8481276258273404
2002-07-30,0.8508140806203347
2002-07-31,0.8529093476153545
2002-08-01,0.7064532569748216
2002-08-02,0.6894417448522113
2002-08-05,0.6785911974629899
2002-08-06,0.6737226085262003
2002-08-07,0.6744136655865153
2002-08-08,0.6800247228352948
2002-08-09,0.6897356684021935
2002-08-12,0.7025976624811308
2002-08-13,0.7176002062727524
2002-08-14,0.7337481607398005
2002-08-15,0.7501377429849004
2002-08-16,0.7660182390959369
2002-08-19,0.7808288423568199
2002-08-20,0.7942066476449631
2002-08-21,0.8059692997492484
2002-08-22,0.8160809328270687
2002-08-23,0.8246114201260969
2002-08-26,0.831697192372094
2002-08-27,0.8375086562045749
2002-08-28,0.8422261068876752
2002-08-29,0.8460238170073567
2002-08-30,0.849060834212975
2002-09-02,0.8514766900790525
2002-09-03,0.8461841153660901
2002-09-04,0.8493766205059499
2002-09-05,0.8518399176442878
2002-09-06,0.8537452046950107
2002-09-09,0.8552216615779591
2002-09-10,0.8563674719617248
2002-09-11,0.857257685422966
2002-09-12,0.8579499232835761
2002-09-13,0.8584885793966421
2002-09-16,0.8589079493047582
2002-09-17,0.8592345833555082
2002-09-18,0.8594890697878877
2002-09-19,0.8596873941466552
2002-09-20,0.8598419807382188
2002-09-23,0.8599624935749007
2002-09-24,0.8600564542278967
2002-09-25,0.860129719586713
2002-09-26,0.8601868519874196
