,omega,alpha,beta,alpha_beta_sum,converged,loglikelihood,nu
DEU_financial_markets_f1,0.014145288949851871,0.9999999999999999,4.2288585320933545e-16,1.0000000000000002,True,-8544.155513656653,122.1668526021355
DEU_financial_markets_f2,0.00010973290885533688,0.9999776109883891,2.4012113876648034e-05,1.0000016231022657,True,-5609.107076328481,11.201975443374259
DEU_banking_system_f1,0.0002611875025981446,0.9999999999920937,1.0402455472074067e-11,1.000000000002496,True,-9713.220894097924,499.9990870569532
DEU_banking_system_f2,0.0017564985241092393,1.0,3.4385130429238026e-17,1.0,True,-6245.763394401643,268.38715579165455
DEU_systemic_stress_f1,0.00030312248677437104,1.0,0.0,1.0,True,-8148.7336601390825,254.04299057053123
DEU_systemic_stress_f2,7.897376151299135e-06,0.9999987451808623,3.338809676594369e-07,0.9999990790618299,True,-4193.123312305676,47.721210628221925
DEU_commodities_f1,0.006652517138749001,0.9999999999999833,1.9380281515445018e-14,1.0000000000000027,True,-12979.061011026597,245.68950340385803
DEU_commodities_f2,0.003003454806859286,0.9999999983640255,1.4590262999520832e-09,0.9999999998230519,True,-7007.867144767826,220.7371148107228
FRA_macro_f1,4.855769440535692e-06,1.0,4.2470171388628634e-19,1.0,True,-11895.240604958912,499.99996329908055
FRA_macro_f2,0.00023122919312284015,0.9999999973246558,3.3727727181795924e-09,1.0000000006974286,True,-7616.954373413171,76.20388371910606
FRA_real_estate_f1,0.0006412473918712596,0.993165877699539,0.006834119981645124,0.9999999976811841,True,-9444.622426565204,499.8398604374097
FRA_real_estate_f2,4.152915481659831e-05,0.9999999986562063,3.3609831027028236e-08,1.0000000322660372,True,-6033.816654461228,301.2470331254521
FRA_public_finance_f1,0.007822595677557043,1.0,0.0,1.0,True,-8880.39964502028,25.860310180683758
FRA_public_finance_f2,0.008534181443416828,1.0,0.0,1.0,True,-8106.344682574027,34.28619277008295
FRA_external_fx_f1,0.0012950677551853396,1.0,0.0,1.0,True,-11558.747409531268,310.4391550267074
FRA_external_fx_f2,0.0012855954499185513,0.9999999995266219,5.1780684077100544e-11,0.9999999995784026,True,-7523.332305259133,59.88567080096042
FRA_financial_markets_f1,0.0044094116401913784,0.9999999989187401,5.3261097894560584e-15,0.9999999989187455,True,-6879.717033505652,32.35826066736782
