date,DEU_public_finance_f1__DEU_public_finance_f2
2014-04-03,-0.7876016781981379
2014-04-04,-0.7970020339699551
2014-04-07,-0.8046073753895794
2014-04-08,-0.810714473220518
2014-04-09,-0.8155888907013024
2014-04-10,-0.8194606198227652
2014-04-11,-0.8225240622085326
2014-04-14,-0.8249405465728119
2014-04-15,-0.826842092199476
2014-04-16,-0.8283355770227706
2014-04-17,-0.8295068098355364
2014-04-18,-0.8304242423449235
2014-04-21,-0.8311422086178722
2014-04-22,-0.8317036701172581
2014-04-23,-0.8321424940130419
2014-04-24,-0.832485315862541
2014-04-25,-0.832753045611951
2014-04-28,-0.8329620750880201
2014-04-29,-0.8331252400424253
2014-04-30,-0.8332525829509589
2014-05-01,-0.7982848418810302
2014-05-02,-0.8088907538744692
2014-05-05,-0.8175691305350747
2014-05-06,-0.8246009729025351
2014-05-07,-0.8302538010511769
2014-05-08,-0.834769345663376
2014-05-09,-0.8383582320781253
2014-05-12,-0.8411992019455846
2014-05-13,-0.8434409912995419
2014-05-14,-0.8452055468924929
2014-05-15,-0.8465917278273237
2014-05-16,-0.8476789846005307
2014-05-19,-0.8485307440388363
2014-05-20,-0.8491973798607547
2014-05-21,-0.849718738996949
2014-05-22,-0.8501262435277857
2014-05-23,-0.8504446121293745
2014-05-26,-0.8506932536120281
2014-05-27,-0.8508873852566757
2014-05-28,-0.8510389244291033
2014-05-29,-0.851157195894851
2014-05-30,-0.8512494907887295
2014-06-02,-0.8513215070546075
2014-06-03,-0.6998557559711502
2014-06-04,-0.7132741672376915
2014-06-05,-0.7287075785289535
2014-06-06,-0.744884989043936
2014-06-09,-0.7608260694814563
2014-06-10,-0.775829796562851
2014-06-11,-0.7894508441436539
2014-06-12,-0.801461121525281
2014-06-13,-0.8118016237269263
2014-06-16,-0.8205324406692953
2014-06-17,-0.8277876893424313
2014-06-18,-0.8337393182315016
2014-06-19,-0.8385708945179258
2014-06-20,-0.8424605056939446
2014-06-23,-0.8455709388712938
2014-06-24,-0.8480451019633816
2014-06-25,-0.8500048878379347
2014-06-26,-0.8515520876222231
2014-06-27,-0.8527703705028045
2014-06-30,-0.8537276902826317
2014-07-01,-0.8033222001688192
2014-07-02,-0.8139592456441094
2014-07-03,-0.8225413322454329
2014-07-04,-0.8294137516072955
2014-07-07,-0.8348853107583475
2014-07-08,-0.839221992567743
2014-07-09,-0.8426471462969154
2014-07-10,-0.8453449663745158
2014-07-11,-0.8474653613850828
2014-07-14,-0.8491291371017059
2014-07-15,-0.8504329218065723
2014-07-16,-0.8514535657014205
2014-07-17,-0.8522519222583144
2014-07-18,-0.8528760157608297
2014-07-21,-0.8533636472684072
2014-07-22,-0.8537445108446072
2014-07-23,-0.8540418956796543
2014-07-24,-0.8542740453548823
2014-07-25,-0.8544552374430264
2014-07-28,-0.8545966374521939
2014-07-29,-0.8547069721479352
2014-07-30,-0.854793059168366
2014-07-31,-0.8548602228228462
2014-08-01,-0.8332446005591961
2014-08-04,-0.8370336800875126
2014-08-05,-0.8400042069470111
2014-08-06,-0.8423303954381026
2014-08-07,-0.8441504184315982
