date,ITA_commodities_f1__ITA_commodities_f2
2022-04-13,0.8704774770453981
2022-04-14,0.870790589789631
2022-04-15,0.8710142675187813
2022-04-18,0.8711711353701046
2022-04-19,0.8712798274648474
2022-04-20,0.87135453865904
2022-04-21,0.8714056190148978
2022-04-22,0.8714404180710561
2022-04-25,0.8714640683278769
2022-04-26,0.8714801155648936
2022-04-27,0.871490992082495
2022-04-28,0.8714983585445492
2022-04-29,0.8715033452252754
2022-05-02,0.8715067197910342
2022-05-03,0.8715255825077726
2022-05-04,0.8714844034318033
2022-05-05,0.8714771082787832
2022-05-06,0.8714816513604663
2022-05-09,0.871489081897288
2022-05-10,0.871496107591022
2022-05-11,0.8715017760877709
2022-05-12,0.8715060296611847
2022-05-13,0.8715090985428561
2022-05-16,0.8715112619227058
2022-05-17,0.8715127651885396
2022-05-18,0.8715138001943658
2022-05-19,0.8715145085404444
2022-05-20,0.871514991409925
2022-05-23,0.8715153197099077
2022-05-24,0.8715155425264233
2022-05-25,0.8715156935729252
2022-05-26,0.8715157958854103
2022-05-27,0.8715158651504116
2022-05-30,0.871515912025493
2022-05-31,0.8715159437404545
2022-06-01,0.8695103520796348
2022-06-02,0.8692665922452988
2022-06-03,0.869550884457159
2022-06-06,0.8699730440269985
2022-06-07,0.8703722983687631
2022-06-08,0.8706972427498241
2022-06-09,0.8709430758752218
2022-06-10,0.8711215611972024
2022-06-13,0.8712479579392262
2022-06-14,0.8713360693506812
2022-06-15,0.8713968694640528
2022-06-16,0.8714385439167247
2022-06-17,0.8714669824293423
2022-06-20,0.8714863313229351
2022-06-21,0.8714994697069739
2022-06-22,0.8715083790810543
2022-06-23,0.8715144152492449
2022-06-24,0.8715185023154606
2022-06-27,0.8715212685177511
2022-06-28,0.8715231402163578
2022-06-29,0.8715244064289337
2022-06-30,0.8715252629191304
2022-07-01,0.8554088733359689
2022-07-04,0.8605798745962181
2022-07-05,0.8641092190633398
2022-07-06,0.8665031536928655
2022-07-07,0.8681233705363838
2022-07-08,0.8692190977880795
2022-07-11,0.8699599504618908
2022-07-12,0.8704608436080289
2022-07-13,0.8707995078931863
2022-07-14,0.8710284948870952
2022-07-15,0.8711833295054718
2022-07-18,0.8712880273983341
2022-07-19,0.87135882478252
2022-07-20,0.8714066991697126
2022-07-21,0.8714390729923722
2022-07-22,0.8714609651226848
2022-07-25,0.8714757693015857
2022-07-26,0.8714857804101055
2022-07-27,0.871492550291586
2022-07-28,0.8714971283431191
2022-07-29,0.871500224199274
2022-08-01,0.871502317738964
2022-08-02,0.8402837590144621
2022-08-03,0.8446009281978364
2022-08-04,0.8502264412887275
2022-08-05,0.8555371150357237
2022-08-08,0.8599261700465757
