country,series_code,train_r_squared,test_r_squared,train_nobs,test_nobs,top_contributions
Italy,FRACPIALLMINMEI,0.5087965161266079,-0.6891394090277865,3359,1440,ITACPIALLMINMEI:0.2744;DEUCPIALLMINMEI:0.1670;CPIAUCSL:0.1635;ESPCPIALLMINMEI:0.0879;MABMM301EZM189S:0.0657;NAEXKP01ITQ661S:-0.0486;NAEXKP01ESQ661S:-0.0305;NAEXKP01FRQ661S:-0.0282;LRHUTTTTDEM156S:-0.0245;NAEXKP01DEQ661S:-0.0094
Italy,VIXCLS,0.3254638393305501,0.23154835474751478,3359,1440,CPIAUCSL:-0.7239;NAEXKP01FRQ661S:0.6589;DAX:-0.6281;ITACPIALLMINMEI:-0.6189;IBEX_35:-0.5770;ITA_Equity:-0.5499;SP500:-0.5467;FRACPIALLMINMEI:-0.5081;DEUCPIALLMINMEI:-0.4847;BAMLC0A0CM:0.4429
Italy,ITA_beta1,0.0,-0.010896704538109203,3359,1440,NAEXKP01FRQ661S:0.0000;FRACPIALLMINMEI:-0.0000;MABMM301EZM189S:0.0000;GDPC1:0.0000;CPIAUCSL:-0.0000;NAEXKP01DEQ661S:0.0000;LRHUTTTTESM156S:0.0000;NAEXKP01ESQ661S:0.0000;DEUCPIALLMINMEI:-0.0000;LRHUTTTTFRM156S:0.0000
Italy,LRHUTTTTITM156S,0.05618096001958084,-0.9675113713606107,3359,1440,NAEXKP01FRQ661S:-0.2922;NAEXKP01ITQ661S:-0.2325;NAEXKP01ESQ661S:-0.2171;GDPC1:-0.1945;NAEXKP01DEQ661S:-0.1606;CPIAUCSL:-0.0842;LRHUTTTTFRM156S:0.0557;LRHUTTTTESM156S:0.0557;ITACPIALLMINMEI:-0.0460;UNRATE:0.0297
Italy,BTP_Bund_Spread,0.0,-0.000509619306473752,3359,1440,ITACPIALLMINMEI:0.0000;FRACPIALLMINMEI:0.0000;DEUCPIALLMINMEI:0.0000;CPIAUCSL:0.0000;NAEXKP01FRQ661S:-0.0000;ESPCPIALLMINMEI:0.0000;NAEXKP01ITQ661S:-0.0000;NAEXKP01ESQ661S:-0.0000;MABMM301EZM189S:0.0000;GDPC1:-0.0000
Italy,DCOILBRENTEU,0.1047914853989047,0.08160145827791987,3359,1440,ITACPIALLMINMEI:0.2933;CPIAUCSL:0.1940;DEUCPIALLMINMEI:0.1564;FRACPIALLMINMEI:0.1356;DAX:0.1095;IBEX_35:0.1007;ITA_Equity:0.0960;SP500:0.0935;ESPCPIALLMINMEI:0.0905;GDPC1:0.0898
Italy,BAMLC0A4CBBB,0.3436834993073471,0.3822797267322461,3359,1440,NAEXKP01FRQ661S:-0.2280;ITA_beta0:-0.1892;FRACPIALLMINMEI:0.1862;GDPC1:-0.1467;NAEXKP01ESQ661S:-0.1354;NAEXKP01DEQ661S:-0.1176;MABMM301EZM189S:-0.1142;NAEXKP01ITQ661S:-0.0839;DEUCPIALLMINMEI:0.0805;CPIAUCSL:0.0786
Italy,NAEXKP01ITQ661S,0.4878215819401225,0.8460635674753878,3359,1440,NAEXKP01FRQ661S:0.2129;NAEXKP01ESQ661S:0.1501;GDPC1:0.1451;NAEXKP01DEQ661S:0.1108;FRACPIALLMINMEI:-0.0618;LRHUTTTTESM156S:-0.0251;LRHUTTTTFRM156S:-0.0250;DEUCPIALLMINMEI:-0.0184;CPIAUCSL:0.0160;LRHUTTTTDEM156S:-0.0157
Italy,SP500,0.3226515084198176,0.26419836446085376,3359,1440,FRACPIALLMINMEI:0.2954;CPIAUCSL:0.2942;ITACPIALLMINMEI:0.2467;DEUCPIALLMINMEI:0.2274;NAEXKP01FRQ661S:-0.2237;NAEXKP01ESQ661S:-0.1313;ESPCPIALLMINMEI:0.1197;DAX:0.1090;MABMM301EZM189S:-0.1062;NAEXKP01DEQ661S:-0.1009
Italy,BAMLC0A1CAAAEY,0.31098617713455823,-0.2609364740942448,3359,1440,FRACPIALLMINMEI:0.6355;CPIAUCSL:0.5877;ITA_beta0:0.5280;NAEXKP01FRQ661S:-0.4274;DEUCPIALLMINMEI:0.3835;MABMM301EZM189S:-0.3648;NAEXKP01DEQ661S:-0.2393;ITACPIALLMINMEI:0.2323;GDPC1:-0.2143;NAEXKP01ESQ661S:-0.2039
Italy,CSUSHPISA,0.2412619186580821,-2.463400907056144,3359,1440,NAEXKP01ITQ661S:0.1062;NAEXKP01FRQ661S:0.0930;NAEXKP01ESQ661S:0.0834;CPIAUCSL:0.0650;GDPC1:0.0623;NAEXKP01DEQ661S:0.0551;LRHUTTTTESM156S:-0.0468;LRHUTTTTFRM156S:-0.0446;DEUCPIALLMINMEI:0.0420;FRACPIALLMINMEI:0.0402
Italy,MORTGAGE30US,0.0,-0.0021173505887088773,3359,1440,ITACPIALLMINMEI:0.0000;NAEXKP01FRQ661S:0.0000;CPIAUCSL:0.0000;ITA_beta0:0.0000;NAEXKP01ESQ661S:0.0000;GDPC1:0.0000;DEUCPIALLMINMEI:0.0000;NAEXKP01ITQ661S:0.0000;FRACPIALLMINMEI:0.0000;NAEXKP01DEQ661S:0.0000
Spain,Bonos_Bund_Spread,0.00511249839690775,-3.9997417637468358,5249,2250,NAEXKP01ESQ661S:-8.1595;ESPCPIALLMINMEI:-3.3535;MABMM301EZM189S:-2.3145;LRHUTTTTESM156S:2.2440;ESP_beta0:-0.2393;ESP_beta2:-0.0035;ESP_beta1:-0.0001
Spain,NAEXKP01ESQ661S,0.14682324773708288,0.013255960114859855,5249,2250,ESPCPIALLMINMEI:0.1134;MABMM301EZM189S:0.0676;LRHUTTTTESM156S:-0.0652;ESP_beta0:-0.0169;Bonos_Bund_Spread:0.0001;ESP_beta2:-0.0000;ESP_beta1:0.0000
Spain,ESPCPIALLMINMEI,0.15907494832021463,-0.257265649678619,5249,2250,MABMM301EZM189S:0.2411;NAEXKP01ESQ661S:0.1347;ESP_beta0:-0.0062;LRHUTTTTESM156S:0.0012;ESP_beta2:0.0003;Bonos_Bund_Spread:-0.0001;ESP_beta1:-0.0000
Spain,LRHUTTTTESM156S,0.10010988660566178,-1.5162115271256287,5249,2250,NAEXKP01ESQ661S:-0.7896;MABMM301EZM189S:-0.1148;ESP_beta0:0.0873;ESPCPIALLMINMEI:-0.0656;ESP_beta2:-0.0034;Bonos_Bund_Spread:0.0007;ESP_beta1:-0.0000
