date,ESP_financial_markets_f1__ESP_financial_markets_f2
2019-06-04,0.8150228035509256
2019-06-05,0.8251170286725582
2019-06-06,0.8327357446465806
2019-06-07,0.8385306471811388
2019-06-10,0.8429640693371883
2019-06-11,0.8463709220516507
2019-06-12,0.8489977798047024
2019-06-13,0.8510284903975784
2019-06-14,0.8526014921384537
2019-06-17,0.8538218369119882
2019-06-18,0.8547697237135231
2019-06-19,0.855506667288582
2019-06-20,0.8560800249778924
2019-06-21,0.8565263599077039
2019-06-24,0.8568739647409462
2019-06-25,0.857144770815877
2019-06-26,0.8573558016896596
2019-06-27,0.8575202855086943
2019-06-28,0.857648509761773
2019-07-01,0.8577484801983251
2019-07-02,0.79382587257395
2019-07-03,0.7916763612811168
2019-07-04,0.7929478349999027
2019-07-05,0.796751368294595
2019-07-08,0.8022244989352144
2019-07-09,0.8086023076003896
2019-07-10,0.8152637521077494
2019-07-11,0.8217501359530988
2019-07-12,0.8277590494660226
2019-07-15,0.8331214959390416
2019-07-16,0.8377710870004161
2019-07-17,0.8417127136944245
2019-07-18,0.8449953797738001
2019-07-19,0.8476912169780947
2019-07-22,0.8498807858444558
2019-07-23,0.8516437246467198
2019-07-24,0.8530534500893955
2019-07-25,0.85417466225665
2019-07-26,0.8550626370434314
2019-07-29,0.8557635598781201
2019-07-30,0.8563153947792226
2019-07-31,0.8567489687321739
2019-08-01,0.8739555248167322
2019-08-02,0.8710404380244293
2019-08-05,0.8685998174876416
2019-08-06,0.8665843732710581
2019-08-07,0.8649388695893477
2019-08-08,0.8636078400183278
2019-08-09,0.8625392612522234
2019-08-12,0.861686557195012
2019-08-13,0.8610093951546918
2019-08-14,0.8604736966803377
2019-08-15,0.8600511940706546
2019-08-16,0.8597187658139347
2019-08-19,0.8594577014195105
2019-08-20,0.8592529842849272
2019-08-21,0.8590926389507955
2019-08-22,0.8589671621814351
2019-08-23,0.8588690413779774
2019-08-26,0.8587923552111528
2019-08-27,0.8587324473313732
2019-08-28,0.8586856627009622
2019-08-29,0.8586491362788521
2019-08-30,0.858620624715889
2019-09-02,0.8585983729422344
2019-09-03,0.8234298651005909
2019-09-04,0.8315405560477229
2019-09-05,0.8377011856549124
2019-09-06,0.8424084988659495
2019-09-09,0.8460219468232516
2019-09-10,0.8488056335193966
2019-09-11,0.8509560374370302
2019-09-12,0.8526207966676206
2019-09-13,0.8539117370715059
2019-09-16,0.8549140955384381
2019-09-17,0.8556931665574125
2019-09-18,0.8562991645172453
2019-09-19,0.8567708256241044
2019-09-20,0.857138103860173
2019-09-23,0.8574242059206157
2019-09-24,0.8576471376972974
2019-09-25,0.8578208859930119
2019-09-26,0.8579563254492492
2019-09-27,0.8580619169978226
2019-09-30,0.8581442472341232
2019-10-01,0.7669037383803277
2019-10-02,0.7691811971755439
2019-10-03,0.7746963790408806
2019-10-04,0.7823066088815218
2019-10-07,0.7910268624946424
2019-10-08,0.8000660076245428
2019-10-09,0.8088400390130668
2019-10-10,0.8169618816201087
2019-10-11,0.8242133213920491
2019-10-14,0.8305075335558528
2019-10-15,0.8358503232187873
2019-10-16,0.8403057975537106
2019-10-17,0.8439692929965557
2019-10-18,0.8469480380126139
2019-10-21,0.8493486174742505
2019-10-22,0.8512697218119456
2019-10-23,0.8527986303919194
2019-10-24,0.8540101190858029
2019-10-25,0.8549668060502826
2019-10-28,0.8557202540154484
2019-10-29,0.8563123907589586
2019-10-30,0.8567769858642141
2019-10-31,0.8571410408693102
2019-11-01,0.8514667350920767
2019-11-04,0.8530407882413783
2019-11-05,0.8542457028127034
2019-11-06,0.8551719811017183
2019-11-07,0.8558863900446206
2019-11-08,0.8564387817667842
2019-11-11,0.8568667324791277
2019-11-12,0.8571987766373174
2019-11-13,0.8574567093559806
2019-11-14,0.8576572544191428
2019-11-15,0.8578132903283925
2019-11-18,0.857934762280753
2019-11-19,0.8580293671339312
2019-11-20,0.8581030719103708
2019-11-21,0.8581605087673411
2019-11-22,0.8582052773776074
2019-11-25,0.8582401773497627
2019-11-26,0.8582673874388388
2019-11-27,0.8582886040731939
2019-11-28,0.8583051486434966
2019-11-29,0.8583180507259623
2019-12-02,0.8583281127159531
2019-12-03,0.8580199016612009
2019-12-04,0.8580746589065408
2019-12-05,0.8581233290473973
2019-12-06,0.8581649223036616
2019-12-09,0.8581995762271466
2019-12-10,0.8582279527202765
2019-12-11,0.8582509061089106
2019-12-12,0.8582693087372677
2019-12-13,0.8582839664956273
2019-12-16,0.8582955843820382
2019-12-17,0.8583047588140033
2019-12-18,0.8583119833161577
2019-12-19,0.8583176600749938
2019-12-20,0.858322113286924
2019-12-23,0.8583256022096193
2019-12-24,0.8583283329491954
2019-12-25,0.8583304686325077
2019-12-26,0.8583321379369755
2019-12-27,0.8583334421062148
2019-12-30,0.8583344606427595
2019-12-31,0.8583352558825676
2020-01-01,0.8538625867538953
2020-01-02,0.8547604422565579
2020-01-03,0.8554829163518225
2020-01-06,0.8560596035143014
2020-01-07,0.8565172788782919
2020-01-08,0.856878979900937
2020-01-09,0.8571639434376102
