date,DEU_real_estate_f1,DEU_real_estate_f2
2006-02-14,-0.9455649851837519,1.0087863864760702
2006-02-15,-0.9455649851837519,1.0087863864760702
2006-02-16,-0.9455649851837519,1.0087863864760702
2006-02-17,-0.9455649851837519,1.0087863864760702
2006-02-20,-0.9455649851837519,1.0087863864760702
2006-02-21,-0.9455649851837519,1.0087863864760702
2006-02-22,-0.9455649851837519,1.0087863864760702
2006-02-23,-0.9455649851837519,1.0087863864760702
2006-02-24,-0.9455649851837519,1.0087863864760702
2006-02-27,-0.9455649851837519,1.0087863864760702
2006-02-28,-0.9899371391204811,1.008158530374834
2006-03-01,-0.9507362436213048,1.0087856554264247
2006-03-02,-0.9499351127674389,1.008785842463635
2006-03-03,-0.9499177214769128,1.0087858425193659
2006-03-06,-0.9499173434619171,1.0087858425193825
2006-03-07,-0.9499173352452032,1.0087858425193825
2006-03-08,-0.9499173350666007,1.0087858425193825
2006-03-09,-0.9499173350627185,1.0087858425193825
2006-03-10,-0.9499173350626341,1.0087858425193825
2006-03-13,-0.9499173350626322,1.0087858425193825
2006-03-14,-0.9499173350626322,1.0087858425193825
2006-03-15,-0.9499173350626322,1.0087858425193825
2006-03-16,-0.9499173350626322,1.0087858425193825
2006-03-17,-0.9499173350626322,1.0087858425193825
2006-03-20,-0.9499173350626322,1.0087858425193825
2006-03-21,-0.9499173350626322,1.0087858425193825
2006-03-22,-0.9499173350626322,1.0087858425193825
2006-03-23,-0.9499173350626322,1.0087858425193825
2006-03-24,-0.9499173350626322,1.0087858425193825
2006-03-27,-0.9499173350626322,1.0087858425193825
2006-03-28,-0.9499173350626322,1.0087858425193825
2006-03-29,-0.9499173350626322,1.0087858425193825
2006-03-30,-0.9499173350626322,1.0087858425193825
2006-03-31,-4.871988231987383,0.3514926483155792
2006-04-03,-1.0076517191450463,1.004562337961229
2006-04-04,-0.9973295805070136,1.005636862231555
2006-04-05,-0.9971087226048425,1.0056371829187054
2006-04-06,-0.9971039235585761,1.0056371830142596
2006-04-07,-0.9971038192449273,1.005637183014288
2006-04-10,-0.997103816977515,1.005637183014288
2006-04-11,-0.9971038169282295,1.005637183014288
2006-04-12,-0.9971038169271582,1.005637183014288
2006-04-13,-0.9971038169271349,1.005637183014288
2006-04-14,-0.9971038169271345,1.005637183014288
2006-04-17,-0.9971038169271345,1.005637183014288
2006-04-18,-0.9971038169271345,1.005637183014288
2006-04-19,-0.9971038169271345,1.005637183014288
2006-04-20,-0.9971038169271345,1.005637183014288
2006-04-21,-0.9971038169271345,1.005637183014288
2006-04-24,-0.9971038169271345,1.005637183014288
2006-04-25,-0.9971038169271345,1.005637183014288
2006-04-26,-0.9971038169271345,1.005637183014288
2006-04-27,-0.9971038169271345,1.005637183014288
2006-04-28,-0.9971038169271345,1.005637183014288
2006-05-01,-1.85207340660407,1.1110266296856972
2006-05-02,-1.006319382496159,1.0063093555811862
2006-05-03,-0.9986987728550137,1.0062824270991337
2006-05-04,-0.9985350446629303,1.0062824190756485
2006-05-05,-0.9985314866809554,1.0062824190732578
2006-05-08,-0.9985314093433401,1.0062824190732573
2006-05-09,-0.9985314076622921,1.0062824190732573
2006-05-10,-0.998531407625752,1.0062824190732573
2006-05-11,-0.9985314076249577,1.0062824190732573
2006-05-12,-0.9985314076249405,1.0062824190732573
2006-05-15,-0.9985314076249402,1.0062824190732573
2006-05-16,-0.9985314076249402,1.0062824190732573
2006-05-17,-0.9985314076249402,1.0062824190732573
2006-05-18,-0.9985314076249402,1.0062824190732573
2006-05-19,-0.9985314076249402,1.0062824190732573
2006-05-22,-0.9985314076249402,1.0062824190732573
2006-05-23,-0.9985314076249402,1.0062824190732573
2006-05-24,-0.9985314076249402,1.0062824190732573
2006-05-25,-0.9985314076249402,1.0062824190732573
2006-05-26,-0.9985314076249402,1.0062824190732573
2006-05-29,-0.9985314076249402,1.0062824190732573
2006-05-30,-0.9985314076249402,1.0062824190732573
2006-05-31,-0.9609465679962683,1.0193192598468142
2006-06-01,-0.9976215781713912,1.0063606340359783
2006-06-02,-0.9984660532902923,1.006356846130618
2006-06-05,-0.9984844330359633,1.0063568450019522
2006-06-06,-0.9984848325583819,1.006356845001616
2006-06-07,-0.998484841242602,1.0063568450016158
2006-06-08,-0.9984848414313664,1.0063568450016158
2006-06-09,-0.9984848414354695,1.0063568450016158
2006-06-12,-0.9984848414355586,1.0063568450016158
2006-06-13,-0.9984848414355606,1.0063568450016158
2006-06-14,-0.9984848414355608,1.0063568450016158
2006-06-15,-0.9984848414355608,1.0063568450016158
2006-06-16,-0.9984848414355608,1.0063568450016158
2006-06-19,-0.9984848414355608,1.0063568450016158
2006-06-20,-0.9984848414355608,1.0063568450016158
2006-06-21,-0.9984848414355608,1.0063568450016158
2006-06-22,-0.9984848414355608,1.0063568450016158
2006-06-23,-0.9984848414355608,1.0063568450016158
