date,ITA_macro_f1__ITA_macro_f2
2020-03-16,0.9222311641135966
2020-03-17,0.9222699209410925
2020-03-18,0.922300152575094
2020-03-19,0.9223237340387049
2020-03-20,0.9223421280548905
2020-03-23,0.9223564756719311
2020-03-24,0.922367666982892
2020-03-25,0.9223763963060375
2020-03-26,0.9223832052372404
2020-03-27,0.9223885162379631
2020-03-30,0.9223926588381963
2020-03-31,0.9223958900773703
2020-04-01,0.8869191644255014
2020-04-02,0.8921616063210764
2020-04-03,0.8971405743439869
2020-04-06,0.9016189995161616
2020-04-07,0.9055034222460788
2020-04-08,0.9087869765022291
2020-04-09,0.9115106689223843
2020-04-10,0.9137382017557253
2020-04-13,0.9155404767700379
2020-04-14,0.9169867203916181
2020-04-15,0.9181399262839561
2020-04-16,0.919054970747315
2020-04-17,0.9197782841819785
2020-04-20,0.9203483551760365
2020-04-21,0.9207966201490568
2020-04-22,0.9211484764138378
2020-04-23,0.9214242750435171
2020-04-24,0.9216402228130871
2020-04-27,0.9218091653379202
2020-04-28,0.9219412473603815
2020-04-29,0.922044458332494
2020-04-30,0.9221250767938244
2020-05-01,0.8520701778168971
2020-05-04,0.862635076055078
2020-05-05,0.8725219625721558
2020-05-06,0.8813586872291314
2020-05-07,0.8890065566443819
2020-05-08,0.895470533501816
2020-05-11,0.900836822380291
2020-05-12,0.9052308876993261
2020-05-13,0.9087906713625628
2020-05-14,0.9116507135236788
2020-05-15,0.9139337144237754
2020-05-18,0.9157468948195907
2020-05-19,0.9171812544631794
2020-05-20,0.9183124374048162
2020-05-21,0.9192023739151388
2020-05-22,0.9199011952499693
2020-05-25,0.920449136109287
2020-05-26,0.920878278928275
2020-05-27,0.9212140785488957
2020-05-28,0.921476654113397
2020-05-29,0.9216818605524845
2020-06-01,0.9218421638259494
2020-06-02,0.9224773250320741
2020-06-03,0.9224331093690709
2020-06-04,0.9224100203105179
2020-06-05,0.9223991148826872
2020-06-08,0.9223950129184986
2020-06-09,0.9223945327277624
2020-06-10,0.9223958318032939
2020-06-11,0.9223978725272299
2020-06-12,0.9224000938024316
2020-06-15,0.9224022115006698
2020-06-16,0.922404098608765
2020-06-17,0.9224057141911853
2020-06-18,0.9224070619630023
2020-06-19,0.9224081666398909
2020-06-22,0.9224090608368709
2020-06-23,0.9224097781376596
2020-06-24,0.9224103497065899
2020-06-25,0.9224108028817618
2020-06-26,0.9224111608335056
2020-06-29,0.9224114427596811
2020-06-30,0.9224116643197885
2020-07-01,0.8900847620990281
2020-07-02,0.8959800910444566
2020-07-03,0.9010432411319319
2020-07-06,0.9052803926275221
2020-07-07,0.9087634935531925
2020-07-08,0.9115902969126335
2020-07-09,0.913862962975195
2020-07-10,0.9156772979359292
2020-07-13,0.9171180378400606
2020-07-14,0.9182574712100132
2020-07-15,0.919155806464647
2020-07-16,0.9198623599198072
2020-07-17,0.9204170440459669
2020-07-20,0.9208518769040004
2020-07-21,0.9211923751115806
2020-07-22,0.9214587732948294
2020-07-23,0.921667057010948
2020-07-24,0.9218298185908929
2020-07-27,0.9219569554227933
2020-07-28,0.9220562334067115
2020-07-29,0.9221337379314665
2020-07-30,0.9221942326452705
2020-07-31,0.9222414435718839
2020-08-03,0.8481470556381878
2020-08-04,0.8580902938745049
2020-08-05,0.8678757028854633
2020-08-06,0.8769477248966331
2020-08-07,0.8850208795378546
2020-08-10,0.8919935576583977
2020-08-11,0.8978813136989605
2020-08-12,0.9027673222567021
2020-08-13,0.9067676436183123
2020-08-14,0.9100084749420165
2020-08-17,0.9126124343215946
2020-08-18,0.9146911980773547
2020-08-19,0.9163423146615587
2020-08-20,0.9176485734677343
2020-08-21,0.9186788027718296
2020-08-24,0.9194893627879742
2020-08-25,0.9201258841203844
2020-08-26,0.9206249952488841
2020-08-27,0.9210159071379981
2020-08-28,0.9213217990313068
2020-08-31,0.9215609932022485
2020-09-01,0.9216777621580367
