date,ITA_external_fx_f1__ITA_external_fx_f2
2014-01-07,-0.7093440986028667
2014-01-08,-0.7090261974841238
2014-01-09,-0.708738438680754
2014-01-10,-0.7084779878349327
2014-01-13,-0.7082422726376846
2014-01-14,-0.7080289594616003
2014-01-15,-0.7078359319076204
2014-01-16,-0.7076612711440056
2014-01-17,-0.7075032379155317
2014-01-20,-0.7073602561031324
2014-01-21,-0.7072308977180003
2014-01-22,-0.7071138692190772
2014-01-23,-0.7070079990484858
2014-01-24,-0.7069122262855231
2014-01-27,-0.7068255903260687
2014-01-28,-0.7067472215005599
2014-01-29,-0.706676332549849
2014-01-30,-0.7066122108842707
2014-01-31,-0.7065542115569919
2014-02-03,-0.6995120174305638
2014-02-04,-0.7001349368806628
2014-02-05,-0.7006966582145001
2014-02-06,-0.7012033358918548
2014-02-07,-0.7016604792784568
2014-02-10,-0.7020730250460463
2014-02-11,-0.7024454005877887
2014-02-12,-0.7027815797131958
2014-02-13,-0.7030851316842726
2014-02-14,-0.7033592644882624
2014-02-17,-0.7036068631053555
2014-02-18,-0.7038305234163451
2014-02-19,-0.7040325823009582
2014-02-20,-0.7042151443989066
2014-02-21,-0.7043801059397141
2014-02-24,-0.7045291759918368
2014-02-25,-0.7046638954346309
2014-02-26,-0.7047856539168853
2014-02-27,-0.7048957050316951
2014-02-28,-0.7049951799084457
2014-03-03,-0.7067582066909477
2014-03-04,-0.7066762275781246
2014-03-05,-0.7066030938543435
2014-03-06,-0.7065377805404174
2014-03-07,-0.7064793922622501
2014-03-10,-0.7064271453646989
2014-03-11,-0.7063803526705951
2014-03-12,-0.7063384104781003
2014-03-13,-0.7063007874524165
2014-03-14,-0.7062670151213915
2014-03-17,-0.7062366797299496
2014-03-18,-0.7062094152466829
2014-03-19,-0.706184897348364
2014-03-20,-0.7061628382354926
2014-03-21,-0.7061429821550079
2014-03-24,-0.7061251015256828
2014-03-25,-0.706108993578005
2014-03-26,-0.7060944774340326
2014-03-27,-0.7060813915642244
2014-03-28,-0.7060695915679012
2014-03-31,-0.7060589482321185
2014-04-01,-0.7049727951901881
2014-04-02,-0.7050580564356115
2014-04-03,-0.7051366007334133
2014-04-04,-0.705208810036652
2014-04-07,-0.7052750768743192
2014-04-08,-0.705335794841303
2014-04-09,-0.7053913515262996
2014-04-10,-0.7054421233707051
2014-04-11,-0.705488472048822
2014-04-14,-0.7055307420390664
2014-04-15,-0.7055692591204921
2014-04-16,-0.7056043295815081
2014-04-17,-0.7056362399703686
2014-04-18,-0.7056652572516572
2014-04-21,-0.7056916292610327
2014-04-22,-0.7057155853731959
2014-04-23,-0.7057373373163262
2014-04-24,-0.705757080080966
2014-04-25,-0.7057749928831604
2014-04-28,-0.7057912401511129
2014-04-29,-0.7058059725121807
2014-04-30,-0.7058193277630186
2014-05-01,-0.7056710680712843
2014-05-02,-0.7056948763948552
2014-05-05,-0.7057167612160018
2014-05-06,-0.705736842210053
2014-05-07,-0.7057552392916566
2014-05-08,-0.7057720704694979
2014-05-09,-0.7057874502913152
2014-05-12,-0.7058014887529811
2014-05-13,-0.7058142905700796
2014-05-14,-0.7058259547304964
2014-05-15,-0.7058365742627923
2014-05-16,-0.7058462361683397
2014-05-19,-0.705855021475846
2014-05-20,-0.7058630053855218
2014-05-21,-0.7058702574770909
2014-05-22,-0.7058768419614327
2014-05-23,-0.7058828179601473
2014-05-26,-0.705888239800918
2014-05-27,-0.7058931573194367
2014-05-28,-0.7058976161609292
2014-05-29,-0.705901658076146
2014-05-30,-0.7059053212081078
2014-06-02,-0.7059086403670256
2014-06-03,-0.7003785629647777
2014-06-04,-0.7009126788619731
2014-06-05,-0.7013938573794415
2014-06-06,-0.7018275077991375
2014-06-09,-0.7022184567188714
2014-06-10,-0.7025710162820387
2014-06-11,-0.7028890434435424
2014-06-12,-0.7031759916168712
2014-06-13,-0.703434955818075
2014-06-16,-0.7036687122364949
2014-06-17,-0.7038797530108217
2014-06-18,-0.7040703168653204
2014-06-19,-0.7042424161593611
2014-06-20,-0.7043978608194558
2014-06-23,-0.70453827955339
2014-06-24,-0.7046651386880561
2014-06-25,-0.7047797589241176
2014-06-26,-0.7048833302599109
2014-06-27,-0.7049769253026652
2014-06-30,-0.7050615111560676
2014-07-01,-0.7050607361529234
2014-07-02,-0.7051371905245504
2014-07-03,-0.7052063604123736
2014-07-04,-0.7052689374488589
2014-07-07,-0.7053255480495942
2014-07-08,-0.7053767594781416
2014-07-09,-0.7054230853630761
2014-07-10,-0.7054649907135117
2014-07-11,-0.705502896476156
2014-07-14,-0.7055371836737668
2014-07-15,-0.7055681971618186
2014-07-16,-0.7055962490372784
2014-07-17,-0.7056216217306445
2014-07-18,-0.7056445708098146
2014-07-21,-0.7056653275219464
2014-07-22,-0.7056841010972286
2014-07-23,-0.7057010808364049
2014-07-24,-0.7057164380019867
2014-07-25,-0.7057303275313033
2014-07-28,-0.70574288958794
2014-07-29,-0.7057542509666058
2014-07-30,-0.7057645263651189
2014-07-31,-0.7057738195359471
2014-08-01,-0.7004446429313205
2014-08-04,-0.7009585287352298
2014-08-05,-0.7014226097829126
2014-08-06,-0.7018417697468695
2014-08-07,-0.702220403139661
2014-08-08,-0.7025624661593495
2014-08-11,-0.702871521922811
2014-08-12,-0.7031507807621813
2014-08-13,-0.7034031361696179
2014-08-14,-0.7036311968985796
2014-08-15,-0.7038373156641455
2014-08-18,-0.7040236148286755
2014-08-19,-0.7041920094108585
2014-08-20,-0.704344227714664
2014-08-21,-0.7044818298388608
2014-08-22,-0.7046062242967392
2014-08-25,-0.7047186829487373
2014-08-26,-0.7048203544272459
2014-08-27,-0.7049122762124143
2014-08-28,-0.704995385499903
2014-08-29,-0.7050705289858599
2014-09-01,-0.7051384716806222
2014-09-02,-0.7002436141788647
2014-09-03,-0.7007525820024766
2014-09-04,-0.7012154950407166
2014-09-05,-0.7016362756449281
2014-09-08,-0.702018560179276
2014-09-09,-0.7023657097702671
2014-09-10,-0.7026808231561779
2014-09-11,-0.7029667508356358
2014-09-12,-0.7032261099094702
2014-09-15,-0.7034612991617848
2014-09-16,-0.7036745140445901
2014-09-17,-0.7038677613224705
2014-09-18,-0.7040428732052549
2014-09-19,-0.704201520851904
2014-09-22,-0.7043452271712974
2014-09-23,-0.70447537887797
2014-09-24,-0.704593237785322
2014-09-25,-0.7046999513370547
2014-09-26,-0.7047965623909537
2014-09-29,-0.7048840182786936
2014-09-30,-0.7049631791719431
2014-10-01,-0.6880414307804906
2014-10-02,-0.68965496564878
2014-10-03,-0.6911096233024754
2014-10-06,-0.6924214538334069
2014-10-07,-0.6936048099892508
2014-10-08,-0.6946725408391311
2014-10-09,-0.6956361607297785
2014-10-10,-0.696505997153892
2014-10-13,-0.6972913205410262
2014-10-14,-0.6980004584858382
2014-10-15,-0.6986408965257757
2014-10-16,-0.6992193672509379
2014-10-17,-0.6997419292580368
2014-10-20,-0.7002140372364685
2014-10-21,-0.7006406042884429
2014-10-22,-0.7010260574297266
2014-10-23,-0.7013743870871406
2014-10-24,-0.7016891912990545
2014-10-27,-0.7019737152320398
2014-10-28,-0.7022308865477322
