date,ESP_macro_f1__ESP_macro_f2
2021-08-25,0.7674181361902468
2021-08-26,0.7674765532491485
2021-08-27,0.7675303161311506
2021-08-30,0.7675797942149771
2021-08-31,0.7676253277848266
2021-09-01,0.7662447459387723
2021-09-02,0.7663961426456206
2021-09-03,0.766535237207504
2021-09-06,0.7666632610490257
2021-09-07,0.7667810925409579
2021-09-08,0.7668895393672375
2021-09-09,0.7669893457922133
2021-09-10,0.7670811975567036
2021-09-13,0.7671657263996365
2021-09-14,0.7672435142433958
2021-09-15,0.7673150970657416
2021-09-16,0.7673809684799398
2021-09-17,0.7674415830435575
2021-09-20,0.7674973593152283
2021-09-21,0.7675486826775222
2021-09-22,0.7675959079429455
2021-09-23,0.767639361758998
2021-09-24,0.7676793448271726
2021-09-27,0.7677161339497772
2021-09-28,0.7677499839175186
2021-09-29,0.7677811292498715
2021-09-30,0.7678097857994208
2021-10-01,0.7647756063786116
2021-10-04,0.7650428490173311
2021-10-05,0.7652874952066823
2021-10-06,0.7655126665275594
2021-10-07,0.765719913855812
2021-10-08,0.7659106570947966
2021-10-11,0.7660862047164441
2021-10-12,0.7662477623868189
2021-10-13,0.7663964408919017
2021-10-14,0.7665332634773986
2021-10-15,0.7666591726418823
2021-10-18,0.7667750364203145
2021-10-19,0.7668816541931687
2021-10-20,0.7669797620544865
2021-10-21,0.7670700377703068
2021-10-22,0.7671531053570279
2021-10-25,0.7672295393074344
2021-10-26,0.7672998684903358
2021-10-27,0.7673645797480569
2021-10-28,0.7674241212143813
2021-10-29,0.7674789053740056
2021-11-01,0.7675293118830737
2021-11-02,0.7616085296088357
2021-11-03,0.7621216093442916
2021-11-04,0.762590149776479
2021-11-05,0.7630214515352833
2021-11-08,0.7634184783991357
2021-11-09,0.7637839366890049
2021-11-10,0.764120321676418
2021-11-11,0.7644299337604824
2021-11-12,0.764714893304317
2021-11-15,0.7649771544048865
2021-11-16,0.7652185176629105
2021-11-17,0.7654406420162005
2021-11-18,0.7656450556975085
2021-11-19,0.7658331663753867
2021-11-22,0.7660062705337984
2021-11-23,0.7661655621433375
2021-11-24,0.7663121406740092
2021-11-25,0.7664470184966239
2021-11-26,0.7665711277169944
2021-11-29,0.7666853264843667
2021-11-30,0.766790404812828
2021-12-01,0.7628178236126532
2021-12-02,0.7632182214792536
2021-12-03,0.763586333381908
2021-12-06,0.76392501044386
2021-12-07,0.7642366065186896
2021-12-08,0.7645232857465575
