date,DEU_financial_markets_f1,DEU_financial_markets_f2
2007-04-06,-0.9618288237367171,-0.999937319844281
2007-04-09,-0.9618288237367171,-0.999937319844281
2007-04-10,-0.9618288237367171,-0.999937319844281
2007-04-11,-0.9618288237367171,-0.999937319844281
2007-04-12,-0.9618288237367171,-0.999937319844281
2007-04-13,-0.9618288237367171,-0.999937319844281
2007-04-16,-0.9618288237367171,-0.999937319844281
2007-04-17,-0.9618288237367171,-0.999937319844281
2007-04-18,-0.9618288237367171,-0.999937319844281
2007-04-19,-0.9618288237367171,-0.999937319844281
2007-04-20,-0.9618288237367171,-0.999937319844281
2007-04-23,-0.9618288237367171,-0.999937319844281
2007-04-24,-0.9618288237367171,-0.999937319844281
2007-04-25,-0.9618288237367171,-0.999937319844281
2007-04-26,-0.9618288237367171,-0.999937319844281
2007-04-27,-0.9618288237367171,-0.999937319844281
2007-04-30,-0.7498702155299698,-1.0236020751484234
2007-05-01,-0.9394018376582386,-0.9999406958412584
2007-05-02,-0.9394018376582388,-0.9999401472303792
2007-05-03,-0.9394018376582388,-0.9999401472172059
2007-05-04,-0.9394018376582388,-0.9999401472172056
2007-05-07,-0.9394018376582388,-0.9999401472172056
2007-05-08,-0.9394018376582388,-0.9999401472172056
2007-05-09,-0.9394018376582388,-0.9999401472172056
2007-05-10,-0.9394018376582388,-0.9999401472172056
2007-05-11,-0.9394018376582388,-0.9999401472172056
2007-05-14,-0.9394018376582388,-0.9999401472172056
2007-05-15,-0.9394018376582388,-0.9999401472172056
2007-05-16,-0.9394018376582388,-0.9999401472172056
2007-05-17,-0.9394018376582388,-0.9999401472172056
2007-05-18,-0.9394018376582388,-0.9999401472172056
2007-05-21,-0.9394018376582388,-0.9999401472172056
2007-05-22,-0.9394018376582388,-0.9999401472172056
2007-05-23,-0.9394018376582388,-0.9999401472172056
2007-05-24,-0.9394018376582388,-0.9999401472172056
2007-05-25,-0.9394018376582388,-0.9999401472172056
2007-05-28,-0.9394018376582388,-0.9999401472172056
2007-05-29,-0.9394018376582388,-0.9999401472172056
